Random waveform, supplied seed
Total number of intervals = 180 (7434, 67201, 85927, 63953, 31595, 87879, 7287, 62295, 6561, 22532, 60653, 59076, 60154, 22964, 8172, 27652, 37594, 24367, 33771, 84944, 85666, 51918, 34406, 28664, 38289, 20658, 13840, 93419, 98284, 71313, 42089, 46458, 30755, 42889, 93552, 65694, 29574, 51355, 67361, 16287, 81508, 87619, 99068, 51267, 11822, 97494, 97350, 55460, 85984, 82043, 52873, 13911, 49984, 9274, 27187, 18735, 86505, 93039, 75999, 32324, 84255, 81759, 37291, 53818, 30297, 31569, 38927, 10652, 98119, 48176, 34929, 69735, 20753, 84642, 42333, 61587, 77998, 97625, 23781, 66723, 31016, 47394, 95335, 5252, 65908, 16889, 42912, 99898, 26385, 22616, 50605, 90283, 26273, 48521, 34058, 75648, 19482, 15054, 75754, 5187, 17656, 96343, 36665, 85269, 31525, 61798, 12253, 25710, 79937, 7271, 85861, 91467, 72217, 31080, 76878, 84584, 12492, 57106, 96245, 6791, 90728, 5151, 82969, 42635, 99337, 95192, 69200, 49459, 29055, 64324, 5705, 84816, 23714, 74116, 19948, 44213, 19454, 7190, 47657, 44399, 6481, 5807, 83137, 9580, 37385, 33706, 35204, 50438, 48878, 42682, 27416, 64424, 64364, 5481, 26227, 26586, 86286, 24452, 26832, 29795, 46224, 84587, 63389, 46953, 90536, 12508, 38491, 97806, 11813, 39665, 53571, 63215, 78767, 8615, 67903, 16398, 53434, 38068, 9130, 69227)
Average QPS expected = 49317
Timestamp start: 1684884564486
Timestamp end: 1684886364923

#type       avg     std     min      p5     p10     p50     p67     p75     p80     p85     p90     p95     p99    p999   p9999      QPS   target
read      411.6   325.7   173.5   231.0   247.6   405.3   462.9   490.0   507.3   529.9   555.2   595.8   714.0  3696.9 12223.7  15063.9    15054
read      357.0   191.7   160.7   218.3   230.4   322.2   384.6   421.2   448.2   480.6   522.6   584.0   724.8  1598.0  7498.6  75606.6    75754
read      402.9   337.9   187.4   261.9   287.1   381.0   413.5   432.7   449.3   468.4   496.5   540.3   652.5  6288.1 12869.0   5244.6     5187
read      418.5   263.9   173.5   238.3   258.1   404.8   467.8   497.6   517.8   540.7   571.4   619.3   748.5  2876.8 11382.7  17602.8    17656
read      347.1   169.3   160.7   219.5   231.9   319.6   372.1   402.9   426.8   455.3   492.5   548.9   685.9  1161.2  7225.6  96339.1    96343
read      396.7   248.6   160.7   223.1   238.2   355.5   442.3   491.6   523.1   555.8   592.6   644.0   781.6  2416.2 10579.6  36619.5    36665
read      350.0   167.2   160.7   218.3   230.2   319.3   376.3   410.0   435.2   465.9   505.2   566.4   700.9  1223.4  5908.3  85340.2    85269
read      399.6   207.5   160.7   223.7   239.0   360.8   456.3   503.5   532.8   563.4   596.5   643.4   769.3  2044.7  8165.0  31562.7    31525
read      369.4   192.6   160.7   220.4   233.8   331.6   399.1   440.0   470.9   508.3   553.8   614.8   745.7  1376.1  7876.4  61896.1    61798
read      412.6   253.8   173.5   237.7   255.9   406.9   457.0   482.1   499.5   520.3   546.2   588.9   689.9  3678.7 10033.7  12288.7    12253
read      410.5   230.2   173.5   228.6   245.7   386.6   465.0   502.5   527.5   553.9   587.2   637.1   784.2  2358.2  9426.3  25719.7    25710
