Random waveform, supplied seed
Total number of intervals = 102 (7434, 67201, 85927, 63953, 31595, 87879, 7287, 62295, 6561, 22532, 60653, 59076, 60154, 22964, 8172, 27652, 37594, 24367, 33771, 84944, 85666, 51918, 34406, 28664, 38289, 20658, 13840, 93419, 98284, 71313, 42089, 46458, 30755, 42889, 93552, 65694, 29574, 51355, 67361, 16287, 81508, 87619, 99068, 51267, 11822, 97494, 97350, 55460, 85984, 82043, 52873, 13911, 49984, 9274, 27187, 18735, 86505, 93039, 75999, 32324, 84255, 81759, 37291, 53818, 30297, 31569, 38927, 10652, 98119, 48176, 34929, 69735, 20753, 84642, 42333, 61587, 77998, 97625, 23781, 66723, 31016, 47394, 95335, 5252, 65908, 16889, 42912, 99898, 26385, 22616, 50605, 90283, 26273, 48521, 34058, 75648, 19482, 15054, 75754, 5187, 17656, 96343)
Average QPS expected = 50954
Timestamp start: 1684938351964
Timestamp end: 1684939372366

#type       avg     std     min      p5     p10     p50     p67     p75     p80     p85     p90     p95     p99    p999   p9999      QPS   target
read      352.6   238.3   160.7   211.4   224.1   308.6   371.2   416.1   448.8   483.4   520.9   571.0   759.4  2846.2  8393.8  42352.4    42333
read      350.2   379.0   160.7   209.8   222.1   305.5   357.8   392.4   421.2   457.6   502.3   561.2   742.0  4704.5 14949.8  61619.5    61587
read      337.5   265.9   160.7   208.7   220.8   300.4   347.5   376.8   400.3   431.6   473.3   536.4   719.6  3481.1 10146.7  77819.7    77998
read      314.3   198.1   148.8   205.4   216.8   290.1   333.2   358.7   377.2   400.9   433.0   482.6   582.7  1806.1  8251.6  97617.9    97625
read      354.5   215.8   160.7   213.9   227.0   329.6   398.9   428.7   447.7   467.0   492.4   530.0   629.4  2853.0  8621.9  23845.5    23781
read      325.6   157.8   160.7   206.9   219.3   298.7   347.8   378.8   403.0   434.1   471.5   519.6   604.2  1152.9  6429.5  66793.6    66723
read      348.1   195.7   160.7   211.2   224.2   315.7   387.7   425.3   448.3   470.8   497.9   537.1   633.2  2241.5  8650.6  31003.3    31016
read      336.2   195.6   160.7   208.1   220.9   305.6   361.5   398.7   426.9   457.3   490.1   532.1   623.1  1460.7  8011.6  47385.4    47394
read      311.5   149.0   148.8   205.3   216.6   289.3   331.9   357.2   375.4   399.6   431.9   480.7   576.4  1221.4  6331.5  95331.9    95335
read      345.5   355.3   173.5   242.3   261.4   325.8   346.8   360.6   369.2   381.3   399.3   436.2   559.0  5071.9 12846.4   5290.3     5252
read      332.0   154.9   148.8   208.6   221.4   305.2   355.6   387.3   411.7   442.3   479.6   529.7   639.6  1137.9  7055.9  65883.3    65908
read      355.9   241.6   160.7   219.1   231.8   346.8   396.5   419.0   433.1   450.2   468.4   501.9   588.3  2745.3 10880.6  16939.4    16889
read      339.5   185.5   160.7   209.0   222.2   309.8   368.0   406.5   433.7   462.2   493.3   534.3   626.4  1209.7  7371.6  42949.1    42912
read      310.0   148.5   160.7   205.6   217.4   290.1   331.3   355.7   373.3   396.7   427.5   473.0   562.2   945.3  4326.6  99993.4    99898
read      350.6   189.2   148.8   212.3   225.4   323.1   396.9   430.1   450.3   470.5   496.2   533.0   621.6  1363.1  8015.3  26341.6    26385
read      352.9   200.0   160.7   213.7   226.8   331.9   399.6   428.6   446.9   465.5   489.4   522.8   603.4  2237.1  8329.6  22660.5    22616
read      332.7   174.5   160.7   207.2   219.9   303.0   357.5   393.7   421.4   452.2   485.6   527.6   617.3  1293.1  7573.1  50450.3    50605
read      312.4   155.1   160.7   205.1   216.4   289.1   332.5   358.6   378.0   402.6   436.8   487.3   577.2  1215.4  5902.0  90177.9    90283
read      345.1   190.8   160.7   211.0   224.1   318.7   389.6   421.7   441.2   461.1   484.8   516.8   594.5  1603.5  8288.8  26323.3    26273
read      331.7   188.2   160.7   206.9   219.6   301.4   355.7   393.0   421.5   452.1   484.8   525.8   609.4  1173.1  8349.2  48517.2    48521
read      339.9   201.1   160.7   208.5   221.3   307.7   375.3   414.8   439.3   463.0   489.5   524.9   600.2  1304.7  9776.1  33883.7    34058
read      320.4   186.8   148.8   206.1   218.2   294.3   341.1   369.8   392.7   421.3   458.1   505.3   592.4  1289.4  7987.3  75779.0    75648
read      354.3   254.5   160.7   215.9   228.5   339.8   399.1   424.1   439.8   457.3   477.0   507.4   591.7  2536.2 11203.6  19411.4    19482
read      355.8   259.5   160.7   219.7   232.8   346.5   392.8   414.1   428.0   444.0   463.8   496.8   584.5  3504.9 11806.4  15034.3    15054
read      319.4   137.8   148.8   205.7   217.7   294.6   341.6   370.3   393.1   421.5   458.3   505.6   590.8  1090.0  4083.0  75719.0    75754
read      342.1   374.1   173.5   239.9   258.9   321.0   342.2   354.8   364.2   373.6   392.5   427.4   543.2  5129.3 15981.0   5199.7     5187
read      354.0   220.5   160.7   220.3   236.6   341.7   389.2   411.5   426.0   441.7   461.5   493.0   577.6  2027.3 10346.1  17638.0    17656
read      312.7   151.8   148.8   205.4   216.9   290.4   334.0   359.7   378.6   402.2   434.6   484.0   578.6  1274.5  5392.1  96229.2    96343

Total QPS = 50952.6 (51971616 / 1020.0s)

Total connections = 64
Misses = 0 (0.0%)
Skipped TXs = 0 (0.0%)

RX 12836988658 bytes :   12.0 MB/s
TX          0 bytes :    0.0 MB/s
Warning! Detected max cpu usage > 95%
CPU Usage Stats (avg/min/max): 99.95%,48.74%,100.00%
